,0
0,Duke
1,Steel
2,Danny
3,Price
4,Burger[BiA]
5,cobe[BiA]
6,Johnny
7,Soyo[BIA]
8,Lord[BiA]
9,Martis
10,Szopix
11,Murdock
12,Gillette
13,JaneSRBRUS
14,Igor
15,Aleksa
16,Seedorf
17,Spud
18,gemon
19,Glenn
20,Nikic
21,Poison[BIA]
22,Usagi
23,Skywalker[BiA]
24,kossovatz
25,Chewie
26,Kaczomen
27,Mile
28,GameKnighted
29,Varoll
30,Zero
31,ViperX[PAB][BiA]
32,Frenki
33,Yotza
34,Strale
35,Aris[BIA]
36,Uni_Play
37,WJarvis
38,Hardcase28
39,Dimi
40,Sale
41,Mora
42,BOT_Stuart[BIA]
43,Rio
44,Psion
45,KostasGamer
46,Desolus
47,Mauser
48,Tayra
49,Yuzo
50,tootee
51,Wolfmother
52,niceguyphil
53,Istan
54,Archer
55,D0CTOR
56,Orbit
57,Lipe
58,Miletic
59,Bovan
60,Flappy
61,I
62,Sclembi
63,Blackshadow
64,Profa
65,ROBA
66,Yak
67,RasaDeDam
68,Krnja
69,Enzoo
70,Arin
71,Djordje
72,Bifixd
73,Joe
74,Joe
75,Feather
76,Mo
77,Darius
78,Ske
79,Vlad
