,0
0,Szopix
1,KostasGamer
2,Kofeina[BIA]
3,Chewie
4,D0CTOR
5,Sclembi
6,ViperX
7,Usagi
8,Szarik
9,Zero
10,Miletic
11,Kaczomen
12,Feather
13,Johnny
14,Punisher[BIA]
15,Blackshadow
16,Abramusas
17,Mini
18,Mauser
19,Dr
20,Vlad
21,Tole[BiA]
22,Burger[BiA]
23,Skywalker
24,Spud
25,NearchosCretan
26,tootee
27,veimiK
28,martis
29,Djordje
30,Heinrich
31,JaneSRBRUS
32,Uni_Play
33,Murdock
34,niceguyphil
35,Gillette
36,Jason
37,RasaDeDam
38,Mile
39,Zex
40,Lipe
41,WJarvis
42,Igor
43,seedorf
44,Lazar
45,Andjela
46,Frenki
47,Psion
48,Flappy
49,Orbit
