,0
0,Scharf
1,Murdock
2,Johnny
3,Luanmh
4,Punisher
5,Nebula
6,Anctus
7,Martis
8,Szopix
9,Kaczomen
10,Skywalker
11,Kofeina
12,Bugs_Bunny
13,Burger
14,Bulia
15,Sclembi
16,YourDoctor
17,W.Jarvis
18,Patch
19,Imbalance
20,GGanzer
21,Chewie
22,Usagi
23,Magnum
24,Berkin
25,Turtright
26,Lexus
27,Abramusas
28,Bobi
29,Mo
30,Combat
31,Jason
32,RasaDeDam
33,Zex
34,Zvuk
35,niceguyphil
36,Feather
37,angle
38,Gillette
39,Bio
40,John
41,Miletic
42,Yotza
43,Joe
44,Tole
45,Psion
46,Heinrich
47,NearchosCretan
48,Dimitri
49,Exillius
50,Mini
51,Chak
52,fresh_ziomal
