,0
0,Turtright
1,Mauser
2,Lord
3,[TLB]
4,Vyp_r
5,Bulia
6,HoodedHero
7,DeDietz
8,jsalzy
9,Waterson
10,Aris
11,Cpl
12,Archimedes
13,Burger
14,Cobikus
15,AVarangon
16,Zaid
17,Sebastian
18,Jones
19,[TF23]
20,Albert
21,Silver
22,Kimi
23,LtBlanco[TF-23]
24,Bobi
25,angle
26,Xero
27,Gog
28,HurricaneM
29,Bovan
30,[TLB]PFC
31,Hunter
32,Zero
33,Bruni
34,GameRoom
35,RasaDeDam
36,FarrowCZ
37,F
38,Mine9000
39,YourDoctor
40,ZenT
41,Sto
42,Imbalance
43,Miletic
44,Uni_Play
45,KillerCake
46,Sclembi
47,D0CTOR
48,Legend
49,The
50,Yotza
51,Abramusas
52,Gysgt_Eight
53,S
54,BMarauder
55,thedragon23
56,Walshy
57,Ioncer
58,Gonzalez
59,D
60,chickend12347
61,Denisman[TF-23]
62,Kenway
63,Davidaf
64,Dreamscape
65,Chak
66,Luanmh
67,Rexma
68,Orbit
69,W.Jarvis
70,SirJuss
71,Kaczomen
72,Matei275
73,Jojo
74,Archer
75,E
76,Usagi
77,Mini
78,Hampter
79,Exillius
80,H
81,T
82,Lexus
83,Tole
84,SpeedKing
85,X. Piotr
86,Magnum
87,niceguyphil
88,P
89,Burger
90,Scream
91,Punisher
92,Oliver
93,AWK
94,CBrock
95,Bio
96,Szopix
97,Berkin
98,CSM
99,Psion
100,Kofeina
101,BLoODiCa
102,S.Lux
103,Priestess
104,Murdock
105,Mo
106,Winterite
107,el_hamptero
108,LooNeY
109,Carlitos
110,Heinrich
111,Malkav-X
112,Chewie
113,Cpl_Five
114,Lt_Six
115,T1MOROS
116,Zex
117,G
118,San
119,Malekif
120,Ademarius
121,lewis
122,Gangalore
123,EFiaLtis
124,fresh_ziomal
125,Xente
126,[TLB]WO1
127,Louis_Bolgarov
128,Scharf
129,Sebo
130,Sgt
131,Solo
132,SPLOMPHMAN
133,BreadKing
134,Aladar
135,Nebula
136,Henki
137,Excelentman
138,Pero
139,Intimidator
140,Patch
141,Blackshadow
142,Goran™
143,jkava
144,Canny
145,A
146,Komet
