,0
0,Patch
1,D0CTOR
2,YourDoctor
3,Lexus
4,W.Jarvis
5,Luanmh
6,Sclembi
7,Bio
8,Magnum
9,Mauser
10,Hunter
11,SpeedKing
12,Usagi
13,Kofeina
14,Oatmeal
15,Miletic
16,Bulia
17,angle
18,RasaDeDam
19,Tole
20,Heinrich
21,Ergones
22,Anctus
23,Berkin
24,GGanzer
25,John
26,Burger
27,Tom
28,Chewie
29,Exillius
30,CombatWombat
31,Bovan
32,Mini
33,Priestess
34,Szopix
35,Hampter
36,Kaczomen
37,T1MOROS
38,Sebastian
39,Abramusas
40,fresh_ziomal
41,Louis_Bolgarov
42,Bobi
43,S.Lux
44,Orbit
45,Murdock
46,Mo
47,Bruni
48,Psion
49,KillerCake
50,Nebula
51,Uni_Play
52,Rexma
53,Henki
54,Zvuk
55,Malkav-X
56,Vlay
57,Bismark
58,Gillette
59,Malorian
60,Imbalance
61,LooNeY
62,Kenway
63,EFIALTES
64,BLoODiCa
65,Zero
66,Chak
67,Spud_2137
68,Zex
69,Lazar
