,0
0,Soyo[BIA]
1,Mile
2,Hardcase28
3,Aleksa
4,Mauser
5,Poison[BIA]
6,Johnny
7,Lipe
8,Murdock
9,Szopix
10,Mix[BiA]
11,Uni_Play
12,cobe[BiA]
13,Bifixd
14,ViperX[PAB][BiA]
15,gemon
16,Duke
17,Flappy
18,Arin
19,Mora
20,Abramusas
21,Farrapo
22,Dimi
23,GameKnighted
24,D0CTOR
25,Usagi
26,Gillette
27,Istan
28,Enzoo
29,Miletic
30,BOT_Stuart[BIA]
31,Skywalker[BiA]
32,Szarik
33,Strale
34,Archer
35,Sonic
36,Sale
37,Seedorf
38,Blackshadow
39,Chewie
40,psixyio
41,RasaDeDam
42,Nikic
43,Vlad
44,Varoll
45,Tayra
46,Michalox
47,Feather
48,Kaczomen
49,niceguyphil
50,Orbit
51,Luso
52,WJarvis
53,Pedrovsky
54,Profa
55,tootee
56,Martis
57,Krnja
58,Ske
59,Burger[BiA]
60,Joe
61,Lazar
62,Psion
63,Bovan
64,Sclembi
65,Djordje
66,Frenki
67,Yak
68,Desolus
69,Yuzo
