,0
0,Heinrich[BIA]
1,Kaczomen
2,ViperX[PAB][BiA]
3,Bovan
4,Spud
5,Usagi
6,Orbit
7,Sclembi
8,Frenki
9,D0CTOR
10,veimiK
11,Skywalker[BiA]
12,Psion
13,Kofeina[BIA]
14,Vlad
15,Rio
16,Djordje
17,Danny
18,Feather
19,SoVieTBeaR
20,Johnny
21,Abramusas
22,Istan
23,KostasGamer
24,JaneSRBRUS
25,Krnja
26,Igor
27,gemon
28,Glenn
29,Chewie
30,Nikic
31,I
32,Blackshadow
33,Mauser
34,Duke[BIA]
35,Gillette
36,Uni_Play
37,Flappy
38,Yuzo
39,Aleksa
40,Andjelaa
41,Michalox
42,DZIKson[BIA]
43,Lazar
44,Dimi
45,WJarvis
46,niceguyphil
47,Murdock
48,Desolus
49,Bifixd
50,Strale
51,Mo
52,Lipe
53,tootee
54,Wolfy
55,Sale
56,Mile
57,Darius
58,Mora
59,kossovatz
60,KitKat
61,[FAWR]Kevlar
62,Burger[BiA]
63,Enzoo
64,[FAWR]
65,Wolfmother
66,Tim
67,[FAWR]-fredo
68,Louis
69,Jason
70,Yotza
