,0
0,Frenki
1,Bifixd
2,Desolus.
3,Szopix
4,Darius
5,Feather
6,Kaczomen
7,UniPlay
8,Burger
9,Istan
10,Tootee
11,Doctor
12,Sclembi
13,Ske.
14,Lord
15,Aris
16,I. Jones
17,Yak.
18,Poison
19,Luso
20,RasaDeDam
21,Viper
22,Strale
23,Orbit
24,Sale
25,Seedorf
26,Flappy
27,Enzoo
28,Cobe
29,Igor
30,Miletic
31,Psion
32,Varoll
33,Mix.
34,Soyo
35,Tayra
36,Blackshadow
37,Usagi
38,Abramusas
39,Mora
40,Mauser
41,Spud
42,Sonic
43,Krnja
44,Nikic
45,Martis
46,Johnny
47,Steel
48,Skywalker
49,JaneSRBRUS
50,Profa
51,Gillette
52,Hardcase28
53,Gemon
54,Price
55,ROBA
56,Djordje
57,Rio.
58,GameKnighted
59,Szarik
60,Zero
61,W.Jarvis
62,Dimi
63,KostasGamer
64,Lazar
65,Aleksa
66,Duke
67,Yuzo
68,Psixyio
69,A.Fletcher
70,Glenn
71,Kossovatz
72,Murdock
73,Wolfmother
74,Mo
75,Joe
76,niceguyphil
77,BOT Stuart
