,0
0,W.Jarvis
1,Lauri
2,Miletic
3,Usagi
4,Mauser
5,Mo
6,Dr. Lexus
7,Viper
8,Rio.
9,Martis
10,Wolfmother
11,Luanmh
12,NearchosCretan
13,Blue
14,Cobe
15,Blackshadow
16,Skywalker
17,Orbit
18,Johnny
19,RasaDeDam
20,Burger
21,Gudman
22,Sweet
23,Szarik
24,Djordje
25,Andjelaa
26,Sclembi
27,Doctor
28,Abramusas
29,Bobi
30,Poison
31,Spud
32,Aleksa
33,Punisher
34,Kofeina
35,UniPlay
36,YourDoctor
37,niceguyphil
38,Mile
39,Chewie
40,Lipe
41,Murdock
42,Heinrich
43,Zero
44,Kaczomen
45,KostasGamer
46,Dimi
47,Gillette
48,Feather
49,Tole
50,jason
51,Tootee
