,0
0,Frenki
1,Doctor
2,Usagi
3,Blackshadow
4,W.Jarvis
5,Chewie
6,jason
7,Krnja
8,UniPlay
9,Bifixd
10,Desolus.
11,Miletic
12,Martis
13,Cobe
14,Abramusas
15,Kru
16,Tootee
17,Aris
18,Bovan
19,Johnny
20,Heinrich
21,Istan
22,Sclembi
23,Lipe
24,veimiK
25,Spud
26,Poison
27,Mauser
28,Lord
29,Yotza
30,Burger
31,Gemon
32,Wolfy
33,JaneSRBRUS
34,RasaDeDam
35,Mile
36,Sam
37,Tole
38,Strale
39,Bobi
40,Djordje
41,Andjelaa
42,Viper
43,Vlad
44,Nanard
45,Night
46,Flappy
47,Skywalker
48,I. Jones
49,Gillette
50,Dr. Lexus
51,Seedorf
52,Mo
53,Mihnea
54,Feather
55,Enzoo
56,Darius
57,Wolfmother
58,Archer
59,A.Fletcher
60,Zero
61,Szarik
62,Kaczomen
63,Orbit
64,Aleksa
65,KostasGamer
66,Glenn
67,Kofeina
68,Murdock
69,Imbalance
