,0
0,Kofeina
1,Spud
2,Bismark
3,ALEX 141
4,Imbalance
5,John
6,BadNews
7,Bovan
8,Zero
9,Miletic
10,Anctus
11,Archer
12,Mini
13,Sclembi
14,Luanmh
15,W.Jarvis
16,Murdock
17,Chewie
18,Psion
19,Kaczomen
20,Patch
21,Gganzer
22,Yotza
23,Johnny
24,Burger
25,Lazar
26,D0ctor
27,YourDoctor
28,angle
29,Abramusas
30,Nebula
31,Combat
32,Lord
33,Aris
34,Bobi
35,Heinrich
36,bulia
37,Punisher
38,Skywalker
39,Rexma
40,Hunter
41,SpeedKing
42,Ergones
43,Loshmi
44,hampter
45,Scharf
46,Mo
47,Uni_play
48,Exillius
49,KillerCake99
50,Zvuk
51,Szopix
52,Bruni
53,Magnum
54,niceguyphil
55,fresh_ziomal
56,Sebastian
57,Atke
58,RasaDeDam
59,Usagi
60,Berkin
61,Louis_Bolgarov
62,Zex
63,Deltas7
64,Bloodica
65,Blind
66,T1MOROS
67,LooNeY
68,Morskin
69,BioXBattle
70,+= Ephialtes
71,deathmaker
72,Lexus
73,Malkav-X
74,Tomcat
75,Orbit
76,Tole
77,Flappy
78,Feather
79,Gillette
80,S.Lux
81,Exoz
82,Cobe
