,0
0,D0ctor
1,Uni_play
2,Usagi
3,Bovan
4,Gillette
5,Tole
6,RasaDeDam
7,Feather
8,Johnny
9,Chewie
10,Miletic
11,Louis_Bolgarov
12,Bobi
13,S.Lux
14,bulia
15,Punisher
16,Hunter
17,Rexma
18,Loshmi
19,Magnum
20,BadNews
21,Turtright
22,Mini
23,Luanmh
24,YourDoctor
25,Zvuk
26,fresh_ziomal
27,Sclembi
28,angle
29,hampter
30,dzoni
31,niceguyphil
32,Yotza
33,Burger
34,Lazar
35,Anctus
36,Mo
37,BioXBattle
38,Nebula
39,Exoz
40,Bismark
41,Skywalker
42,KillerCake99
43,Abramusas
44,Hairy
45,Patch
46,Zex
47,Berkin
48,Cobe
49,Szopix
50,Heinrich
51,Combat
52,Flappy
53,SpeedKing
54,Psion
55,Archer
56,Zero
57,Flavius Justinianus
58,Ergones
59,Scharf
60,Deltas7
61,Bloodica
62,Blind
63,T1MOROS
64,Malkav-X
65,Lord
66,Lexus
67,deathmaker
68,LooNeY
69,Morskin
70,Aris
71,Blackshadow
72,Imbalance
73,W.Jarvis
74,Kaczomen
75,Gganzer
76,Orbit
77,Kofeina
78,Spud
79,Murdock
80,ALEX 141
