,0
0,D0ctor
1,Bovan
2,Chewie
3,angle
4,Abramusas
5,Exillius
6,Bismark
7,W.Jarvis
8,Mo
9,Sclembi
10,Nebula
11,Zvuk
12,Patch
13,Gillette
14,Zex
15,Lexus
16,Hairy
17,Mini
18,Gganzer
19,Shomy
20,Yotza
21,Cobe
22,Burger
23,Anctus
24,Murdock
25,Lazar
26,Luanmh
27,BadNews
28,bulia
29,Tole
30,Scharf
31,fresh_ziomal
32,RasaDeDam
33,Skywalker
34,Combat
35,Feather
36,Psion
37,BioXBattle
38,Bugs_Bunny
39,niceguyphil
40,Usagi
41,Lord
42,Heinrich
43,Aris
44,Spud_2137
45,rexma_01
46,Miletic
47,Zero
48,Orbit
49,Imbalance
50,Bobi
51,YourDoctor
52,Kaczomen
53,John
54,Kofeina
55,Punisher
56,Chak
