,0
0,Bovan
1,Uni_play
2,Bugs_Bunny
3,Chewie
4,RasaDeDam
5,Johnny
6,hampter
7,Orbit
8,Bobi
9,Luanmh
10,Punisher
11,Murdock
12,Hunter
13,Kofeina
14,John Price
15,Henki
16,Bruni
17,Heinrich
18,Scharf
19,Exillius
20,Bloodica
21,ALEX 141
22,BadNews
23,LooNeY
24,Ephialtes
25,Tomcat
26,Sebastian
27,Malorian
28,Burger
29,T1MOROS
30,Malkav-X
31,Blind
32,Stunder
33,Abramusas
34,Patch
35,BioXBattle
36,Turtright
37,fresh_ziomal
38,CombatWombat
39,Hans Werfer
40,Kaczomen
41,Koniple
42,Kakta
43,bulia
44,Lazar
45,Chak
46,Usagi
47,Mo
48,Szopix
49,Anctus
50,niceguyphil
51,Ske
52,Spud
53,S.Lux
54,Darius
55,L E K 0
56,YourDoctor
57,Gganzer
58,Nebula
59,Miletic
60,Zero
61,Psion
62,Zex
63,Mini
64,W.Jarvis
65,D0ctor
66,Bismark
67,Imbalance
68,Cholax
69,KillerCake99
70,Flappy
71,Magnum
72,John
73,Okelot
74,Fubar
75,SpeedKing
76,Lexus
77,Gillette
78,Zvuk
79,angle
80,Rexma
81,Tole
