,0
0,D0ctor
1,Bovan
2,gameknight3000
3,Scharf
4,Heinrich
5,Gillette
6,angle
7,Murdock
8,Orbit
9,Ergones
10,Spud
11,Johnny
12,Zvuk
13,fresh_ziomal
14,Zex
15,Lexus
16,SpeedKing
17,Okelot
18,Fubar
19,Chewie
20,YourDoctor
21,Patch
22,Nebula
23,Exillius
24,RasaDeDam
25,KillerCake99
26,CombatWombat
27,Bismark
28,Mo
29,Blackshadow
30,Ske
31,Uni_play
32,Sebastian
33,Turtright
34,Hans Werfer
35,Bruni
36,Smootie
37,Marcel
38,hampter
39,BadNews
40,Bobi
41,niceguyphil
42,Magnum
43,Flappy
44,Hunter
45,Szopix
46,Punisher
47,Henki
48,REVCREW
49,Rexma
50,Chak
51,Kofeina
52,Sclembi
53,bulia
54,Anctus
55,Imbalance
56,Psion
57,Miletic
58,Berkin
59,Usagi
60,Abramusas
61,Luanmh
62,Kaczomen
63,Yotza
64,BioXBattle
65,Tole
66,Zero
67,Mini
68,ALEX 141
69,Koniple
70,LooNeY
71,Blind
72,T1MOROS
73,S.Lux
74,Tomcat
75,L E K 0
76,Bugs_Bunny
77,Malkav-X
78,Ephialtes
79,Gganzer
80,Kakta
81,W.Jarvis
