,0
0,Frenki
1,JaneSRBRUS
2,Mo
3,Rio.
4,Chewie
5,Ske.
6,Mora
7,Desolus.
8,Mauser
9,Martis
10,Sale
11,Szopix
12,Darius
13,Kaczomen
14,Feather
15,Varoll
16,Hardcase28
17,Soyo
18,Burger
19,Djordje
20,Johnny
21,W.Jarvis
22,Dimi
23,KostasGamer
24,Aris
25,Lord
26,Bovan
27,Yotza
28,Danny
29,Archer
30,Barcher
31,A.Fletcher
32,Gemon
33,Strale
34,Istan
35,Sclembi
36,Psixyio
37,Doctor
38,GameKnighted
39,Bifixd
40,Zero
41,Tayra
42,RasaDeDam
43,Usagi
44,UniPlay
45,Timotemat
46,Viper
47,Miletic
48,Psion
49,Orbit
50,Lazar
51,Aleksa
52,Duke
53,Igor
54,Poison
55,Mile
56,Yuzo
57,Blackshadow
58,Skywalker
59,Lipe
60,Pedrovsky
61,Seedorf
62,Cobe
63,Vlad
64,Nikic
65,Yak.
66,Flappy
67,Spud
68,Sonic
69,Tootee
70,Profa
71,ROBA
72,Dr. Lexus
73,Glenn
74,Kossovatz
75,Murdock
76,niceguyphil
77,Wolfmother
78,I. Jones
79,Joe
80,Price
81,Steel
