,0
0,Chewie
1,Szopix
2,Mix.
3,Bifixd
4,Mora
5,Tootee
6,Kaczomen
7,Johnny
8,Farrapo
9,Feather
10,Michalox
11,Krnja
12,Seedorf
13,Mo
14,Hardcase28
15,Gemon
16,Joe
17,Gillette
18,Istan
19,Steel
20,Strale
21,Bovan
22,Sonic
23,Mauser
24,Spud
25,Mikey Qripten
26,Martis
27,UniPlay
28,Wolfmother
29,Yotza
30,Djordje
31,Arin
32,Profa
33,Doctor
34,Sclembi
35,Ske.
36,Desolus.
37,Darius
38,Lord
39,Aris
40,JaneSRBRUS
41,RasaDeDam
42,Viper
43,Nikic
44,Mile
45,Sale
46,Pedrovsky
47,Enzoo
48,Skywalker
49,A.Fletcher
50,Varoll
51,Burger
52,Poison
53,Psion
54,Abramusas
55,Vlad
56,niceguyphil
57,Soyo
58,Yak.
59,Igor
60,Tayra
61,Blackshadow
62,Usagi
63,Orbit
64,Cobe
65,Flappy
66,Murdock
67,Luso
68,GameKnighted
69,Psixyio
70,Zero
71,Lazar
72,Aleksa
73,Duke
74,W.Jarvis
75,Dimi
76,Glenn
77,I. Jones
